strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,entry_date,exit_date,strike_band_n,width_points,otm_distance_points,max_atm_search_steps,liquidity_mode,min_contracts,min_open_int,liquidity_percentile,exit_rule,exit_k_days,fees_bps,fixed_fee_per_lot,strike_interval_used
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250109|20250103,bear_put_spread|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,PE,1,1,2025-01-03,2025-01-09,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250109|20250103,bear_put_spread|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,23800.0,PE,-1,1,2025-01-03,2025-01-09,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250116|20250110,bear_put_spread|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,PE,1,1,2025-01-10,2025-01-16,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250116|20250110,bear_put_spread|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23250.0,PE,-1,1,2025-01-10,2025-01-16,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250123|20250117,bear_put_spread|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,PE,1,1,2025-01-17,2025-01-23,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250123|20250117,bear_put_spread|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23000.0,PE,-1,1,2025-01-17,2025-01-23,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250206|20250124,bear_put_spread|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,PE,1,1,2025-01-24,2025-02-06,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250206|20250124,bear_put_spread|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,22900.0,PE,-1,1,2025-01-24,2025-02-06,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250213|20250207,bear_put_spread|NIFTY|WEEKLY|20250213|20250207::L000009,NIFTY,OPTIDX,2025-02-13,23550.0,PE,1,1,2025-02-07,2025-02-13,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250213|20250207,bear_put_spread|NIFTY|WEEKLY|20250213|20250207::L000010,NIFTY,OPTIDX,2025-02-13,23350.0,PE,-1,1,2025-02-07,2025-02-13,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250220|20250214,bear_put_spread|NIFTY|WEEKLY|20250220|20250214::L000011,NIFTY,OPTIDX,2025-02-20,22950.0,PE,1,1,2025-02-14,2025-02-20,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250220|20250214,bear_put_spread|NIFTY|WEEKLY|20250220|20250214::L000012,NIFTY,OPTIDX,2025-02-20,22750.0,PE,-1,1,2025-02-14,2025-02-20,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250306|20250221,bear_put_spread|NIFTY|WEEKLY|20250306|20250221::L000013,NIFTY,OPTIDX,2025-03-06,22800.0,PE,1,1,2025-02-21,2025-03-06,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250306|20250221,bear_put_spread|NIFTY|WEEKLY|20250306|20250221::L000014,NIFTY,OPTIDX,2025-03-06,22600.0,PE,-1,1,2025-02-21,2025-03-06,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250313|20250307,bear_put_spread|NIFTY|WEEKLY|20250313|20250307::L000015,NIFTY,OPTIDX,2025-03-13,22550.0,PE,1,1,2025-03-07,2025-03-13,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250313|20250307,bear_put_spread|NIFTY|WEEKLY|20250313|20250307::L000016,NIFTY,OPTIDX,2025-03-13,22350.0,PE,-1,1,2025-03-07,2025-03-13,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250320|20250317,bear_put_spread|NIFTY|WEEKLY|20250320|20250317::L000017,NIFTY,OPTIDX,2025-03-20,22500.0,PE,1,1,2025-03-17,2025-03-20,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250320|20250317,bear_put_spread|NIFTY|WEEKLY|20250320|20250317::L000018,NIFTY,OPTIDX,2025-03-20,22300.0,PE,-1,1,2025-03-17,2025-03-20,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250403|20250321,bear_put_spread|NIFTY|WEEKLY|20250403|20250321::L000019,NIFTY,OPTIDX,2025-04-03,23350.0,PE,1,1,2025-03-21,2025-04-03,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,WEEKLY,bear_put_spread|NIFTY|WEEKLY|20250403|20250321,bear_put_spread|NIFTY|WEEKLY|20250403|20250321::L000020,NIFTY,OPTIDX,2025-04-03,23150.0,PE,-1,1,2025-03-21,2025-04-03,10,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250227|20250131,bear_put_spread|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,PE,1,1,2025-01-31,2025-02-27,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250227|20250131,bear_put_spread|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23300.0,PE,-1,1,2025-01-31,2025-02-27,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250327|20250228,bear_put_spread|NIFTY|MONTHLY|20250327|20250228::L000003,NIFTY,OPTIDX,2025-03-27,22100.0,PE,1,1,2025-02-28,2025-03-27,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250327|20250228,bear_put_spread|NIFTY|MONTHLY|20250327|20250228::L000004,NIFTY,OPTIDX,2025-03-27,21900.0,PE,-1,1,2025-02-28,2025-03-27,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250430|20250328,bear_put_spread|NIFTY|MONTHLY|20250430|20250328::L000005,NIFTY,OPTIDX,2025-04-30,23500.0,PE,1,1,2025-03-28,2025-04-30,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
bear_put_spread,MONTHLY,bear_put_spread|NIFTY|MONTHLY|20250430|20250328,bear_put_spread|NIFTY|MONTHLY|20250430|20250328::L000006,NIFTY,OPTIDX,2025-04-30,23300.0,PE,-1,1,2025-03-28,2025-04-30,15,200.0,,3,OFF,1,1,50,EXPIRY,,0.0,0.0,50
