date,strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,lot_size,units,entry_date,exit_date,entry_price,settle_used,settle_prev_used,mtm_pnl,gap_risk_pnl_proxy,gap_method,price_method,rate_91d,rate_182d,rate_364d,vix_close,contracts,open_int,chg_in_oi
2025-01-10,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,CE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,159.8,159.8,159.8,-0.0,4342.499999999892,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.067,0.06682,14.92,780775.0,970650.0,858225.0
2025-01-10,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23450.0,PE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,161.3,161.3,161.3,-0.0,12097.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.067,0.06682,14.92,1381503.0,1264500.0,912975.0
2025-01-13,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,CE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,159.8,30.4,159.8,9705.0,11985.0,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06747,16.0,930773.0,2350725.0,1380075.0
2025-01-13,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23450.0,PE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,161.3,350.5,161.3,-14190.0,-6997.49999999989,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06747,16.0,112293.0,540900.0,-723600.0
2025-01-14,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,CE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,159.8,19.85,30.4,791.2499999999998,2280.0,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0662,0.0670999999999999,0.06705,15.47,758862.0,2869425.0,518700.0
2025-01-14,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23450.0,PE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,161.3,231.25,350.5,8943.75,4980.000000000109,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0662,0.0670999999999999,0.06705,15.47,46250.0,393900.0,-147000.0
2025-01-15,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,CE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,159.8,7.15,19.85,952.5000000000001,1488.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0670999999999999,0.06643,15.26,1521622.0,3573825.0,704400.0
2025-01-15,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23450.0,PE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,161.3,242.15,231.25,-817.5000000000005,2377.5000000000546,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0670999999999999,0.06643,15.26,105968.0,366075.0,-27825.0
2025-01-16,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000003,NIFTY,OPTIDX,2025-01-16,23450.0,CE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,159.8,0.0,7.15,536.25,536.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0659,0.0668,0.06641,15.47,3548178.0,3406725.0,-167100.0
2025-01-16,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250116|20250110,short_straddle|NIFTY|WEEKLY|20250116|20250110::L000004,NIFTY,OPTIDX,2025-01-16,23450.0,PE,-1,1,75.0,-75.0,2025-01-10,2025-01-16,161.3,138.20000000000073,242.15,7796.249999999945,12705.0,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0659,0.0668,0.06641,15.47,374489.0,450825.0,84750.0
2025-01-17,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,CE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,183.8,183.8,183.8,-0.0,8002.50000000011,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06623,15.75,2064980.0,3662625.0,2097300.0
2025-01-17,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23200.0,PE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,146.9,146.9,146.9,-0.0,11017.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06623,15.75,2430583.0,3565575.0,934350.0
2025-01-20,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,CE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,183.8,246.9,183.8,-4732.5,7004.999999999892,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0669,0.06663,16.42,1124283.0,2655075.0,-1007550.0
2025-01-20,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23200.0,PE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,146.9,74.15,146.9,5456.25,11017.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0669,0.06663,16.42,1806528.0,5807925.0,2242350.0
2025-01-21,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,CE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,183.8,72.35,246.9,13091.25,1893.7499999998913,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0667,0.06654,17.06,2157028.0,5450700.0,2795625.0
2025-01-21,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23200.0,PE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,146.9,191.5,74.15,-8801.25,5561.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0667,0.06654,17.06,2683838.0,3647025.0,-2160900.0
